GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,NAME,JN9E001,JN9E002,JN9E003,JN9E004,JN9E005,JN9E006,JN9E007,JN9E008,JN9E009,JN9E010,JN9E011,JN9E012,JN9E013,JN9E014,JN9E015,JN9E016,JN9E017,JN9E018,JN9E019,JN9E020,JN9E021,JN9E022,JN9E023,JN9E024,JN9E025,JN9E026,JN9E027,JN9E028,JN9E029,JN9E030,JN9E031,JN9E032,JN9E033,JN9E034,JN9E035,JN9M001,JN9M002,JN9M003,JN9M004,JN9M005,JN9M006,JN9M007,JN9M008,JN9M009,JN9M010,JN9M011,JN9M012,JN9M013,JN9M014,JN9M015,JN9M016,JN9M017,JN9M018,JN9M019,JN9M020,JN9M021,JN9M022,JN9M023,JN9M024,JN9M025,JN9M026,JN9M027,JN9M028,JN9M029,JN9M030,JN9M031,JN9M032,JN9M033,JN9M034,JN9M035
G4201010000402,2006-2010,Pennsylvania,42,Philadelphia County,101,402,Census Tract 4.02, Philadelphia County, Pennsylvania,2942,1099,0,0,0,14,0,0,0,0,170,40,131,62,349,120,144,69,1843,0,0,0,0,0,0,15,32,442,88,145,70,336,527,160,28,308,247,109,109,109,21,109,109,109,109,106,38,99,53,160,78,69,50,182,109,109,109,109,109,109,23,36,168,60,69,55,156,147
G4201010000401,2006-2010,Pennsylvania,42,Philadelphia County,101,401,Census Tract 4.01, Philadelphia County, Pennsylvania,1247,549,0,0,0,0,0,0,19,35,115,0,10,0,220,87,63,0,698,0,0,0,0,0,0,32,0,69,0,51,24,349,145,5,23,231,171,109,109,109,109,109,109,31,38,77,109,16,109,114,81,53,109,175,109,109,109,109,109,109,53,109,52,109,52,37,135,88
G4201010012204,2006-2010,Pennsylvania,42,Philadelphia County,101,12204,Census Tract 122.04, Philadelphia County, Pennsylvania,3055,1064,0,0,0,4,8,33,43,4,171,80,180,16,238,139,131,17,1991,1,27,23,53,0,84,139,69,501,43,292,83,302,345,15,14,355,266,109,109,109,5,16,34,41,6,107,59,100,25,175,86,98,27,278,1,27,28,39,109,69,112,60,178,48,125,67,156,133
G4201010012203,2006-2010,Pennsylvania,42,Philadelphia County,101,12203,Census Tract 122.03, Philadelphia County, Pennsylvania,740,431,0,0,0,0,59,0,11,0,0,0,15,0,139,167,40,0,309,0,0,13,0,0,0,39,33,47,18,10,0,77,43,29,0,170,135,109,109,109,109,95,109,20,109,109,109,24,109,91,101,35,109,107,109,109,20,109,109,109,64,51,18,17,10,109,51,39
G4201010013602,2006-2010,Pennsylvania,42,Philadelphia County,101,13602,Census Tract 136.02, Philadelphia County, Pennsylvania,2682,1424,0,0,26,0,0,0,0,65,183,19,162,132,426,212,174,25,1258,23,0,0,0,0,18,12,18,177,30,84,24,368,329,140,35,339,279,109,109,36,109,109,109,109,58,109,31,163,112,120,90,80,20,196,31,109,109,109,109,29,18,27,95,45,55,27,152,98
G4201010034501,2006-2010,Pennsylvania,42,Philadelphia County,101,34501,Census Tract 345.01, Philadelphia County, Pennsylvania,2580,1220,61,0,0,0,15,145,86,79,329,93,151,93,133,13,0,22,1360,68,0,0,46,0,38,52,61,567,41,103,131,199,54,0,0,262,221,72,109,109,109,23,139,78,52,148,65,82,85,80,20,109,34,168,78,109,109,46,109,36,64,48,137,37,65,90,104,48
G4201010034502,2006-2010,Pennsylvania,42,Philadelphia County,101,34502,Census Tract 345.02, Philadelphia County, Pennsylvania,3589,1633,40,0,0,0,0,26,41,129,590,114,264,37,279,88,25,0,1956,23,0,0,34,0,150,32,55,543,141,307,265,229,140,15,22,442,245,37,109,109,109,109,32,51,145,217,78,151,42,106,74,38,109,323,37,109,109,31,109,137,33,56,173,92,138,171,93,85
G4201010001102,2006-2010,Pennsylvania,42,Philadelphia County,101,1102,Census Tract 11.02, Philadelphia County, Pennsylvania,1830,909,0,0,0,0,0,0,0,0,51,4,28,76,355,183,164,48,921,0,0,0,0,0,0,0,0,34,0,0,1,319,390,83,94,287,242,109,109,109,109,109,109,109,109,69,10,44,56,197,102,80,43,202,109,109,109,109,109,109,109,109,42,109,109,16,110,214
G4201010000902,2006-2010,Pennsylvania,42,Philadelphia County,101,902,Census Tract 9.02, Philadelphia County, Pennsylvania,1558,673,0,0,0,31,0,14,18,42,107,0,72,0,178,41,105,65,885,51,12,0,22,24,0,44,25,64,14,27,0,340,85,132,45,252,156,109,109,109,25,109,23,27,47,65,109,75,109,73,33,60,51,172,54,19,109,33,29,109,66,30,49,23,37,109,144,47
G4201010000901,2006-2010,Pennsylvania,42,Philadelphia County,101,901,Census Tract 9.01, Philadelphia County, Pennsylvania,1540,837,0,0,0,17,0,0,0,17,31,89,16,32,337,134,114,50,703,0,0,0,0,0,0,0,0,72,0,62,61,222,167,53,66,330,311,109,109,109,30,109,109,109,28,34,141,25,38,122,106,75,69,155,109,109,109,109,109,109,109,109,74,109,77,45,115,108
G4201010017201,2006-2010,Pennsylvania,42,Philadelphia County,101,17201,Census Tract 172.01, Philadelphia County, Pennsylvania,2028,704,0,0,0,72,20,63,18,68,225,91,70,55,22,0,0,0,1324,38,0,16,36,52,120,45,11,746,76,87,26,71,0,0,0,349,204,109,109,109,90,37,80,28,73,124,84,67,58,32,109,109,109,235,59,109,26,47,62,67,44,18,199,64,76,32,82,109
G4201010017202,2006-2010,Pennsylvania,42,Philadelphia County,101,17202,Census Tract 172.02, Philadelphia County, Pennsylvania,2251,831,0,19,0,18,10,30,64,53,541,46,0,0,50,0,0,0,1420,0,0,0,26,0,163,268,103,620,67,104,0,52,17,0,0,315,233,109,29,109,28,18,44,61,55,205,62,109,109,54,109,109,109,172,109,109,109,30,109,100,115,68,174,48,63,109,63,28
G4201010027401,2006-2010,Pennsylvania,42,Philadelphia County,101,27401,Census Tract 274.01, Philadelphia County, Pennsylvania,1957,866,44,9,20,47,0,22,55,68,389,35,69,16,35,17,18,22,1091,49,18,48,40,0,18,75,16,526,36,137,91,25,12,0,0,291,227,49,17,38,52,109,35,60,54,166,37,56,27,42,31,30,32,165,46,29,73,57,109,22,58,27,184,47,74,95,34,19
G4201010020101,2006-2010,Pennsylvania,42,Philadelphia County,101,20101,Census Tract 201.01, Philadelphia County, Pennsylvania,2474,1131,23,16,0,25,15,121,215,12,440,162,44,58,0,0,0,0,1343,0,0,61,143,29,111,26,89,451,150,152,102,14,0,0,15,449,303,37,26,109,32,24,104,139,19,148,158,43,59,109,109,109,109,275,109,109,69,98,47,68,31,80,199,81,127,105,23,109
G4201010020102,2006-2010,Pennsylvania,42,Philadelphia County,101,20102,Census Tract 201.02, Philadelphia County, Pennsylvania,2125,1036,23,0,0,0,37,75,31,35,457,0,237,81,47,0,0,13,1089,0,0,0,53,0,76,38,180,463,56,93,34,65,0,18,13,319,249,33,109,109,109,61,80,54,40,154,109,124,89,43,109,109,23,174,109,109,109,63,109,81,43,102,160,52,68,48,68,109
G4201010031101,2006-2010,Pennsylvania,42,Philadelphia County,101,31101,Census Tract 311.01, Philadelphia County, Pennsylvania,2598,1101,11,39,129,11,12,0,43,49,349,33,148,121,62,70,0,24,1497,36,88,29,10,0,60,88,9,471,83,195,295,76,57,0,0,319,203,18,61,135,19,20,109,47,54,143,42,113,70,54,53,109,39,222,37,78,50,17,109,67,80,17,148,69,117,150,75,43
G4201010031102,2006-2010,Pennsylvania,42,Philadelphia County,101,31102,Census Tract 311.02, Philadelphia County, Pennsylvania,2515,995,25,0,34,21,0,0,11,98,396,55,165,35,34,121,0,0,1520,34,56,0,0,121,51,72,66,448,17,300,125,172,41,17,0,351,242,42,109,54,35,109,109,19,132,158,47,88,44,40,112,109,109,255,43,89,109,109,117,74,89,65,190,22,128,77,117,33
G4201010019502,2006-2010,Pennsylvania,42,Philadelphia County,101,19502,Census Tract 195.02, Philadelphia County, Pennsylvania,1835,719,199,52,12,66,34,0,13,30,205,13,24,0,33,38,0,0,1116,27,18,11,13,81,90,96,19,390,84,138,63,62,24,0,0,218,198,129,65,21,46,53,109,20,37,99,23,37,109,34,61,109,109,252,32,28,18,21,52,73,88,32,232,83,94,72,65,44
G4201010019501,2006-2010,Pennsylvania,42,Philadelphia County,101,19501,Census Tract 195.01, Philadelphia County, Pennsylvania,2705,1142,70,0,62,123,158,51,96,19,442,11,16,24,70,0,0,0,1563,56,113,45,185,98,71,153,101,454,110,177,0,0,0,0,0,343,207,52,109,63,118,116,60,87,32,147,26,31,44,101,109,109,109,242,45,98,40,181,84,61,107,88,147,110,94,109,109,109
G4201010028901,2006-2010,Pennsylvania,42,Philadelphia County,101,28901,Census Tract 289.01, Philadelphia County, Pennsylvania,2174,906,43,0,50,26,128,84,12,0,288,45,123,32,60,0,15,0,1268,73,0,34,100,8,144,53,19,425,19,295,38,60,0,0,0,365,279,38,109,57,43,102,100,20,109,132,49,96,52,102,109,24,109,198,52,109,34,79,13,113,65,32,134,30,130,56,49,109
G4201010028902,2006-2010,Pennsylvania,42,Philadelphia County,101,28902,Census Tract 289.02, Philadelphia County, Pennsylvania,3489,1602,29,59,176,48,78,15,180,96,520,38,225,52,69,17,0,0,1887,27,25,151,135,101,14,189,13,660,104,186,141,141,0,0,0,591,431,38,92,172,48,130,27,122,99,200,43,140,46,64,32,109,109,345,34,33,112,92,73,23,128,20,205,72,98,111,100,109
G4201010033101,2006-2010,Pennsylvania,42,Philadelphia County,101,33101,Census Tract 331.01, Philadelphia County, Pennsylvania,3114,1625,0,0,0,28,0,62,56,13,651,136,250,40,347,13,29,0,1489,0,0,0,0,25,48,3,63,699,102,161,94,213,81,0,0,238,201,109,109,109,46,109,52,45,21,176,82,135,45,179,21,37,109,174,109,109,109,109,22,46,9,64,137,72,90,70,101,57
G4201010033102,2006-2010,Pennsylvania,42,Philadelphia County,101,33102,Census Tract 331.02, Philadelphia County, Pennsylvania,3330,1277,0,0,0,0,0,42,44,46,703,7,99,15,213,71,16,21,2053,75,0,0,67,35,31,5,50,672,103,434,12,237,295,0,37,782,391,109,109,109,109,109,48,38,44,163,12,71,23,148,103,25,34,682,54,109,109,83,37,31,9,49,206,67,201,22,129,263
G4201010031501,2006-2010,Pennsylvania,42,Philadelphia County,101,31501,Census Tract 315.01, Philadelphia County, Pennsylvania,3977,2225,47,0,0,42,34,107,30,42,901,113,257,151,322,104,60,15,1752,25,0,0,25,82,40,35,0,667,69,303,163,286,57,0,0,331,369,75,109,109,64,43,96,34,61,250,90,165,103,156,112,74,24,180,30,109,109,30,83,39,41,109,160,57,126,105,126,47
G4201010030501,2006-2010,Pennsylvania,42,Philadelphia County,101,30501,Census Tract 305.01, Philadelphia County, Pennsylvania,2604,1096,0,0,0,0,18,70,30,69,441,43,86,105,167,67,0,0,1508,65,21,0,44,0,80,54,57,631,36,126,97,282,15,0,0,383,243,109,109,109,109,32,70,29,66,170,48,74,133,140,68,109,109,242,71,37,109,74,109,84,69,53,187,38,80,80,143,26
G4201010030502,2006-2010,Pennsylvania,42,Philadelphia County,101,30502,Census Tract 305.02, Philadelphia County, Pennsylvania,3782,1621,71,0,25,0,11,21,52,72,720,39,134,176,257,43,0,0,2161,1,52,43,94,69,48,18,33,753,67,301,252,253,147,0,30,303,247,93,109,43,109,19,34,52,57,235,47,92,118,122,51,109,109,260,20,62,48,77,70,45,31,37,168,64,172,155,136,138
G4201010009802,2006-2010,Pennsylvania,42,Philadelphia County,101,9802,Census Tract 98.02, Philadelphia County, Pennsylvania,3134,1471,0,13,0,23,0,38,14,72,491,141,332,73,162,72,20,20,1663,0,0,0,0,0,0,30,28,466,86,155,341,294,205,28,30,351,276,109,23,109,37,109,48,22,55,181,107,190,56,107,80,28,30,202,109,109,109,109,109,109,36,32,142,69,111,157,131,110
G4201010018001,2006-2010,Pennsylvania,42,Philadelphia County,101,18001,Census Tract 180.01, Philadelphia County, Pennsylvania,1654,569,40,0,0,0,70,0,31,0,242,72,23,0,77,14,0,0,1085,34,0,0,40,32,24,0,71,595,32,106,66,58,27,0,0,254,161,61,109,109,109,78,109,36,109,130,77,37,109,68,22,109,109,198,56,109,109,63,34,29,109,68,166,39,96,73,58,30
G4201010017702,2006-2010,Pennsylvania,42,Philadelphia County,101,17702,Census Tract 177.02, Philadelphia County, Pennsylvania,2918,1462,23,187,149,136,161,139,95,11,314,1,59,67,97,0,23,0,1456,41,85,119,154,62,81,50,0,684,87,30,41,22,0,0,0,530,337,37,104,189,89,143,117,81,19,130,10,93,90,112,109,35,109,253,44,99,90,111,47,52,57,109,172,67,40,59,33,109
G4201010017701,2006-2010,Pennsylvania,42,Philadelphia County,101,17701,Census Tract 177.01, Philadelphia County, Pennsylvania,1714,651,65,26,86,0,34,25,53,25,242,0,13,32,14,0,25,11,1063,65,28,21,35,156,122,69,0,453,32,33,0,13,36,0,0,317,189,77,32,80,109,41,41,54,28,117,109,20,49,24,109,41,17,207,66,36,36,46,74,74,55,109,145,51,40,109,19,42
G4201010035602,2006-2010,Pennsylvania,42,Philadelphia County,101,35602,Census Tract 356.02, Philadelphia County, Pennsylvania,2527,1247,117,16,14,0,0,63,14,9,205,65,156,123,324,111,15,15,1280,78,25,0,0,0,0,23,44,421,35,47,83,230,269,11,14,296,163,106,27,21,109,109,54,21,16,105,54,75,62,139,66,23,23,183,68,27,109,109,109,109,26,45,115,38,46,60,106,103
G4201010035701,2006-2010,Pennsylvania,42,Philadelphia County,101,35701,Census Tract 357.01, Philadelphia County, Pennsylvania,3402,1390,0,0,29,0,0,38,15,40,633,32,166,122,227,75,13,0,2012,30,14,69,0,101,29,0,80,718,127,339,77,246,89,93,0,341,240,109,109,47,109,109,46,24,38,201,36,98,80,106,70,21,109,197,51,21,80,109,93,48,109,51,177,94,130,66,113,61
G4201010035702,2006-2010,Pennsylvania,42,Philadelphia County,101,35702,Census Tract 357.02, Philadelphia County, Pennsylvania,2822,1295,18,30,0,0,0,39,0,13,406,0,146,76,446,66,55,0,1527,0,0,0,87,67,22,14,104,529,31,136,66,357,88,26,0,553,296,29,35,109,109,109,34,109,20,159,109,100,62,270,72,68,109,308,109,109,109,97,96,34,22,90,150,35,95,69,132,66
G4201010035601,2006-2010,Pennsylvania,42,Philadelphia County,101,35601,Census Tract 356.01, Philadelphia County, Pennsylvania,3929,1802,0,12,64,0,15,49,66,22,440,116,456,67,397,68,30,0,2127,0,58,61,53,45,78,21,107,834,41,218,89,345,177,0,0,283,193,109,19,43,109,23,46,64,27,110,72,168,52,118,55,35,109,188,109,61,42,44,42,33,31,61,171,40,104,53,120,98
G4201010015101,2006-2010,Pennsylvania,42,Philadelphia County,101,15101,Census Tract 151.01, Philadelphia County, Pennsylvania,1354,643,0,14,0,0,20,0,18,17,328,27,45,0,142,0,32,0,711,61,23,11,12,0,0,53,12,303,20,13,74,77,52,0,0,325,243,109,23,109,109,33,109,30,26,201,40,53,109,113,109,53,109,179,74,37,20,19,109,109,58,22,146,34,20,67,94,53
G4201010015102,2006-2010,Pennsylvania,42,Philadelphia County,101,15102,Census Tract 151.02, Philadelphia County, Pennsylvania,2648,865,16,26,20,15,68,29,213,16,266,32,37,60,67,0,0,0,1783,18,17,0,70,27,30,180,86,1123,77,73,31,51,0,0,0,255,226,26,42,32,23,83,34,162,26,141,37,33,65,79,109,109,109,192,27,27,109,63,31,35,97,86,208,65,57,38,48,109
G4201010036501,2006-2010,Pennsylvania,42,Philadelphia County,101,36501,Census Tract 365.01, Philadelphia County, Pennsylvania,4065,1866,0,12,0,24,54,57,23,0,645,153,314,122,294,56,66,46,2199,8,0,9,65,8,59,16,0,898,72,150,135,507,218,28,26,325,227,109,19,109,25,90,52,33,109,210,86,135,83,126,48,47,47,236,13,109,14,56,13,50,25,109,229,56,95,76,140,126
G4201010980400,2006-2010,Pennsylvania,42,Philadelphia County,101,980400,Census Tract 9804, Philadelphia County, Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
G4201010013402,2006-2010,Pennsylvania,42,Philadelphia County,101,13402,Census Tract 134.02, Philadelphia County, Pennsylvania,2350,1291,18,0,0,0,0,17,68,0,81,42,93,18,435,215,216,88,1059,0,0,16,0,0,0,0,17,163,10,78,19,269,117,265,105,317,267,31,109,109,109,109,22,68,109,62,66,86,28,170,127,135,60,228,109,109,27,109,109,109,109,28,102,15,87,24,121,75
G4201010013401,2006-2010,Pennsylvania,42,Philadelphia County,101,13401,Census Tract 134.01, Philadelphia County, Pennsylvania,1860,780,0,0,0,0,0,0,17,0,60,14,14,0,298,109,173,95,1080,0,0,0,61,0,0,0,0,44,26,95,60,380,261,115,38,163,125,109,109,109,109,109,109,26,109,76,20,23,109,121,52,83,86,112,109,109,109,76,109,109,109,109,40,21,58,49,121,108
G4201010013601,2006-2010,Pennsylvania,42,Philadelphia County,101,13601,Census Tract 136.01, Philadelphia County, Pennsylvania,1932,845,0,0,0,0,19,25,0,0,37,0,90,16,185,226,177,70,1087,0,0,0,17,0,0,0,9,127,32,24,11,318,256,281,12,174,76,109,109,109,109,28,33,109,109,38,109,52,26,102,96,136,41,165,109,109,109,19,109,109,109,15,55,32,27,20,124,96
G4201010037900,2006-2010,Pennsylvania,42,Philadelphia County,101,37900,Census Tract 379, Philadelphia County, Pennsylvania,3484,1726,0,22,0,67,0,59,31,21,926,63,114,51,291,72,9,0,1758,0,0,0,24,128,87,186,38,785,41,184,129,89,57,10,0,402,256,109,35,109,66,109,51,42,25,225,50,76,44,118,59,14,109,218,109,109,109,28,105,60,96,34,190,38,80,74,61,47
G4201010038200,2006-2010,Pennsylvania,42,Philadelphia County,101,38200,Census Tract 382, Philadelphia County, Pennsylvania,1414,606,23,0,16,9,5,36,34,36,315,12,65,16,39,0,0,0,808,17,0,2,46,23,119,136,28,268,0,72,54,43,0,0,0,190,139,31,109,30,15,17,38,38,39,102,19,75,26,37,109,109,109,148,19,109,14,43,33,67,89,28,105,109,56,44,45,109
G4201010038000,2006-2010,Pennsylvania,42,Philadelphia County,101,38000,Census Tract 380, Philadelphia County, Pennsylvania,1466,801,9,0,7,55,75,60,29,22,350,0,149,19,7,6,0,13,665,6,14,28,12,14,24,65,7,343,13,80,22,20,17,0,0,244,167,13,109,12,44,61,37,29,20,113,109,100,22,10,9,109,19,108,11,22,32,14,13,28,46,10,113,21,47,19,19,20
G4201010038100,2006-2010,Pennsylvania,42,Philadelphia County,101,38100,Census Tract 381, Philadelphia County, Pennsylvania,361,140,0,0,0,0,0,0,17,0,98,0,0,25,0,0,0,0,221,0,0,0,17,14,0,10,9,82,19,16,17,29,0,0,8,65,53,109,109,109,109,109,109,21,109,57,109,109,24,109,109,109,109,54,109,109,109,25,24,109,17,16,44,30,28,20,34,109
G4201010038400,2006-2010,Pennsylvania,42,Philadelphia County,101,38400,Census Tract 384, Philadelphia County, Pennsylvania,1849,792,0,0,0,17,8,21,0,0,237,8,99,24,203,120,55,0,1057,0,0,0,9,0,43,26,10,330,67,114,41,256,119,28,14,170,139,109,109,109,19,13,18,109,109,107,15,51,22,78,65,42,109,97,109,109,109,16,109,40,40,15,88,54,59,34,76,59
G4201010000100,2006-2010,Pennsylvania,42,Philadelphia County,101,100,Census Tract 1, Philadelphia County, Pennsylvania,2752,1547,0,0,8,29,0,29,31,16,117,16,211,74,561,237,178,40,1205,13,0,8,21,0,30,0,0,57,13,72,17,511,313,88,62,400,315,109,109,14,34,109,33,52,26,98,26,107,78,134,103,66,38,227,22,109,14,24,109,48,109,109,53,21,59,28,179,92
G4201010000200,2006-2010,Pennsylvania,42,Philadelphia County,101,200,Census Tract 2, Philadelphia County, Pennsylvania,1602,774,8,26,11,47,36,55,39,50,153,17,27,7,140,65,76,17,828,72,79,31,56,0,100,28,21,185,13,0,7,140,53,43,0,216,140,12,27,13,52,37,48,48,32,81,19,31,13,70,54,61,19,168,47,75,34,47,109,74,44,25,97,19,109,12,71,50
G4201010000300,2006-2010,Pennsylvania,42,Philadelphia County,101,300,Census Tract 3, Philadelphia County, Pennsylvania,2551,1201,0,0,0,0,13,11,0,11,131,15,54,24,372,259,271,40,1350,0,0,0,0,22,0,0,0,222,152,121,20,276,248,194,95,313,164,109,109,109,109,20,18,109,18,86,23,50,27,112,99,85,28,277,109,109,109,109,26,109,109,109,89,232,71,26,108,82
G4201010000500,2006-2010,Pennsylvania,42,Philadelphia County,101,500,Census Tract 5, Philadelphia County, Pennsylvania,1325,890,16,0,45,119,18,25,16,41,202,70,86,8,77,93,62,12,435,0,0,0,9,0,18,14,13,78,0,22,27,100,106,48,0,255,262,20,109,47,96,20,19,20,35,85,51,63,13,66,89,48,19,122,109,109,109,14,109,16,15,16,58,109,24,34,68,75
G4201010000600,2006-2010,Pennsylvania,42,Philadelphia County,101,600,Census Tract 6, Philadelphia County, Pennsylvania,803,501,0,0,51,0,0,12,0,0,75,0,11,12,120,129,78,13,302,0,0,0,0,0,0,0,0,34,0,12,0,50,39,129,38,200,210,109,109,78,109,109,20,109,109,86,109,18,20,69,108,49,22,103,109,109,109,109,109,109,109,109,32,109,19,109,40,63
G4201010000700,2006-2010,Pennsylvania,42,Philadelphia County,101,700,Census Tract 7, Philadelphia County, Pennsylvania,2063,989,0,0,0,0,0,48,0,13,65,13,26,33,462,186,104,39,1074,0,0,0,0,0,0,14,9,139,13,126,14,389,177,141,52,264,220,109,109,109,109,109,76,109,21,57,22,31,30,203,76,64,40,193,109,109,109,109,109,109,23,15,83,21,85,22,128,78
G4201010003200,2006-2010,Pennsylvania,42,Philadelphia County,101,3200,Census Tract 32, Philadelphia County, Pennsylvania,2991,1269,0,0,12,14,0,127,186,71,630,15,149,52,0,13,0,0,1722,40,0,0,61,0,172,97,46,875,96,120,134,55,26,0,0,393,335,109,109,20,22,109,154,180,78,191,25,100,50,109,21,109,109,240,52,109,109,51,109,139,62,54,209,76,107,81,59,31
G4201010003300,2006-2010,Pennsylvania,42,Philadelphia County,101,3300,Census Tract 33, Philadelphia County, Pennsylvania,3626,1611,18,0,0,83,60,110,155,55,736,17,123,105,124,25,0,0,2015,56,0,16,63,23,154,242,87,1011,125,131,53,54,0,0,0,490,376,24,109,109,78,78,84,125,75,246,27,90,103,109,40,109,109,365,69,109,25,68,26,104,212,84,254,67,74,50,51,109
